volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
10000	58	8000	79000	0	22	9171	0.9171	206525	1.5700280954372592	11.49
10000	59	12000	78000	0	21	9837	0.9837	207524	1.5836915272580805	11.62
10000	60	4000	80000	0	21	9864	0.9864	207943	1.5820145257382752	11.75
10000	59	14000	75000	0	22	9237	0.9237	207647	1.5598193978136734	11.62
10000	58	14000	79000	0	21	9800	0.98	206949	1.5897186579886702	11.49
10000	58	6000	80000	0	22	9168	0.9168	206476	1.5714315751868346	11.49
10000	58	8000	78000	0	22	9151	0.9151	206200	1.5685178049049902	11.49
10000	59	2000	79000	0	23	8594	0.8594	205831	1.5320589125227912	11.62
10000	56	1000	76000	0	23	8280	0.828	200106	1.5333828911023704	11.24
10000	55	8000	79000	0	22	8924	0.8924	202311	1.578576844047623	11.12
10000	59	2000	80000	0	21	9763	0.9763	206400	1.5871867502162453	11.62
10000	55	6000	75000	0	22	8821	0.8821	200617	1.571789125094574	11.12
10000	56	14000	77000	0	23	8448	0.8448	203026	1.5380755631357497	11.24
10000	60	2000	75000	0	21	9740	0.974	206068	1.5754307256759092	11.75
10000	59	7000	80000	0	22	9259	0.9259	208003	1.5673610080968923	11.62
10000	57	0	76000	0	22	8937	0.8937	202652	1.5682617629812403	11.36
10000	58	1000	77000	0	24	7851	0.7851	200770	1.482351815828027	11.49
10000	56	3000	78000	0	24	7732	0.7732	198314	1.48694751324218	11.24
10000	55	8000	77000	0	23	8297	0.8297	200300	1.5381254285476982	11.12
10000	55	13000	80000	0	22	8999	0.8999	203544	1.5801838469430924	11.12
10000	56	11000	80000	0	22	9061	0.9061	204619	1.577955425296623	11.24
10000	58	2000	79000	0	23	8515	0.8515	204376	1.5351510425194415	11.49
10000	60	12000	80000	0	21	9954	0.9954	209304	1.58091429111039	11.75
10000	60	5000	79000	0	22	9293	0.9293	208600	1.561409604148932	11.75
10000	58	11000	76000	0	23	8558	0.8558	205118	1.5316807542690347	11.49
10000	57	5000	77000	0	23	8429	0.8429	202790	1.5351721445558373	11.36
10000	56	15000	79000	0	24	7887	0.7887	201163	1.4928535814101676	11.24
10000	56	9000	78000	0	24	7801	0.7801	199582	1.4893058163808706	11.24
10000	59	2000	75000	0	23	8514	0.8514	204456	1.525157606558894	11.62
