volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
10000	68	0	0	0	17	10000	1	170000	1.2116892373485388	13.03
10000	80	0	0	0	23	8299	0.8299	204289	1.2181812760882529	15.77
10000	73	0	0	0	18	10000	1	180000	1.1976047904191616	14.03
10000	85	0	0	0	14	10000	1	140000	0.7650273224043715	17.3
10000	79	0	0	0	24	7639	0.7639	201622	1.2226925409338993	15.49
10000	81	0	0	0	16	10000	1	160000	0.9384164222873901	16.05
10000	77	0	0	0	10	10000	1	100000	0.6261740763932373	14.97
10000	87	0	0	0	16	10000	1	160000	0.842548709847288	17.99
10000	73	0	0	0	18	10000	1	180000	1.1976047904191616	14.03
10000	84	0	0	0	12	10000	1	120000	0.667779632721202	16.97
10000	82	0	0	0	23	8392	0.8392	206161	1.1882478386167148	16.35
10000	73	0	0	0	19	10000	1	190000	1.264138389886893	14.03
10000	87	0	0	0	16	10000	1	160000	0.842548709847288	17.99
10000	65	0	0	0	12	10000	1	120000	0.8882309400444115	12.51
10000	86	0	0	0	10	10000	1	100000	0.5364806866952789	17.64
10000	83	0	0	0	14	10000	1	140000	0.7932011331444759	16.65
10000	76	0	0	0	17	10000	1	170000	1.0814249363867685	14.72
10000	68	0	0	0	16	10000	1	160000	1.1404133998574484	13.03
10000	66	0	0	0	23	7499	0.7499	188321	1.3776225310899781	12.67
10000	69	0	0	0	14	10000	1	140000	0.9852216748768473	13.21
10000	73	0	0	0	14	10000	1	140000	0.9314703925482368	14.03
10000	83	0	0	0	25	7187	0.7187	203093	1.1506685552407931	16.65
10000	80	0	0	0	14	10000	1	140000	0.8348240906380441	15.77
10000	84	0	0	0	22	9067	0.9067	207391	1.15409571508069	16.97
10000	65	0	0	0	16	10000	1	160000	1.1843079200592155	12.51
10000	88	0	0	0	18	10000	1	180000	0.9302325581395349	18.35
10000	65	0	0	0	15	10000	1	150000	1.1102886750555145	12.51
10000	87	0	0	0	17	10000	1	170000	0.8952080042127436	17.99
10000	70	0	0	0	10	10000	1	100000	0.6944444444444444	13.4
10000	66	0	0	0	23	7499	0.7499	188321	1.3776225310899781	12.67
10000	68	0	0	0	17	10000	1	170000	1.2116892373485388	13.03
10000	68	0	0	0	15	10000	1	150000	1.0691375623663577	13.03
10000	65	0	0	0	12	10000	1	120000	0.8882309400444115	12.51
10000	65	0	0	0	16	10000	1	160000	1.1843079200592155	12.51
10000	68	0	0	0	16	10000	1	160000	1.1404133998574484	13.03
10000	73	0	0	0	14	10000	1	140000	0.9314703925482368	14.03
10000	69	0	0	0	18	10000	1	180000	1.266713581984518	13.21
10000	79	0	0	0	24	7639	0.7639	201622	1.2226925409338993	15.49
10000	68	0	0	0	16	10000	1	160000	1.1404133998574484	13.03
10000	80	0	0	0	23	8299	0.8299	204289	1.2181812760882529	15.77
10000	76	0	0	0	17	10000	1	170000	1.0814249363867685	14.72
10000	88	0	0	0	18	10000	1	180000	0.9302325581395349	18.35
10000	73	0	0	0	10	10000	1	100000	0.6653359946773121	14.03
10000	84	0	0	0	22	9067	0.9067	207391	1.15409571508069	16.97
10000	83	0	0	0	25	7187	0.7187	203093	1.1506685552407931	16.65
10000	80	0	0	0	23	8299	0.8299	204289	1.2181812760882529	15.77
10000	69	0	0	0	16	10000	1	160000	1.1259676284306825	13.21
10000	84	0	0	0	22	9067	0.9067	207391	1.15409571508069	16.97
