volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
10000	60	16000	1282000	9000	21	10000	1	210000	-0.023374655840750495	11.75
10000	53	15000	870000	3000	19	10000	1	190000	0.539028797551144	10.9
10000	54	14000	1192000	1000	19	10000	1	190000	0.11018501252907309	11.01
10000	47	36000	1407000	2000	20	10000	1	200000	-0.23152391397107358	10.3
10000	51	23000	107000	7000	21	9879	0.9879	208105	1.7228487288928422	10.68
10000	43	21000	1976000	2000	22	10000	1	220000	-1.205868171976245	9.95
10000	42	39000	1775000	3000	22	10000	1	220000	-0.9045027228866105	9.86
10000	57	14000	761000	8000	21	10000	1	210000	0.7209479284872086	11.36
10000	43	20000	401000	6000	19	10000	1	190000	1.267647551356216	9.95
10000	52	13000	1850000	0	20	10000	1	200000	-0.8170018539657455	10.79
10000	58	39000	904000	9000	23	10000	1	230000	0.5204540829200536	11.49
10000	43	35000	1351000	9000	18	10000	1	180000	-0.14611872567615797	9.95
10000	56	21000	790000	1000	24	10000	1	240000	0.7851117444700995	11.24
10000	54	30000	1986000	6000	18	10000	1	180000	-0.9205614322429118	11.01
10000	48	11000	608000	8000	24	10000	1	240000	1.1780525927500916	10.39
10000	49	36000	1271000	8000	18	10000	1	180000	-0.03299532547760895	10.49
10000	42	18000	944000	1000	19	10000	1	190000	0.4847057190222525	9.86
10000	50	15000	760000	6000	20	10000	1	200000	0.740151682633543	10.58
10000	55	17000	936000	5000	24	10000	1	240000	0.5511882350161084	11.12
10000	45	17000	1997000	0	20	10000	1	200000	-1.1006504209831707	10.12
10000	51	29000	967000	3000	18	10000	1	180000	0.3772667458647397	10.68
10000	60	32000	278000	7000	23	10000	1	230000	1.4650758275492244	11.75
10000	47	15000	1362000	7000	22	10000	1	220000	-0.1544397386404423	10.3
10000	47	12000	713000	6000	22	10000	1	220000	0.9184481003715687	10.3
10000	54	34000	1408000	6000	21	10000	1	210000	-0.2318246504070564	11.01
10000	60	19000	1617000	5000	18	10000	1	180000	-0.4136110350429691	11.75
10000	40	31000	910000	6000	22	10000	1	220000	0.5984161405327393	9.7
10000	43	34000	1629000	5000	21	10000	1	210000	-0.6136848514172506	9.95
10000	59	40000	1917000	4000	18	10000	1	180000	-0.7995442472406411	11.62
10000	43	22000	124000	1000	24	7627	0.7627	194854	1.6175015267351147	9.95
10000	56	28000	471000	4000	23	10000	1	230000	1.2387777892580991	11.24
10000	59	33000	869000	3000	24	10000	1	240000	0.6116835847750978	11.62
10000	48	32000	1538000	1000	24	10000	1	240000	-0.4992913667201166	10.39
10000	42	40000	1647000	0	24	10000	1	240000	-0.7433371228806566	9.86
10000	58	13000	257000	8000	18	10000	1	180000	1.2195232551192332	11.49
10000	55	31000	1968000	3000	21	10000	1	210000	-1.034316588542415	11.12
10000	46	20000	1147000	8000	22	10000	1	220000	0.19060531475950107	10.21
10000	58	28000	151000	0	22	10000	1	220000	1.6363398420050814	11.49
10000	51	10000	1070000	5000	22	10000	1	220000	0.3248378118628378	10.68
10000	58	37000	410000	1000	20	10000	1	200000	1.1274011360734526	11.49
10000	51	23000	107000	7000	21	9879	0.9879	208105	1.7228487288928422	10.68
10000	60	32000	278000	7000	18	10000	1	180000	1.1465810824298277	11.75
10000	56	28000	1617000	5000	18	10000	1	180000	-0.44346281424333905	11.24
10000	60	19000	471000	4000	23	10000	1	230000	1.19856192722521	11.75
10000	43	23000	401000	6000	19	10000	1	190000	1.2632384778319727	9.95
10000	51	29000	967000	2000	18	10000	1	180000	0.3785671448413598	10.68
10000	43	34000	1629000	5000	21	10000	1	210000	-0.6136848514172506	9.95
10000	59	33000	713000	6000	22	10000	1	220000	0.7835249257000635	11.62
10000	47	11000	869000	3000	24	10000	1	240000	0.7295051670974985	10.3
10000	43	22000	124000	1000	24	7627	0.7627	194854	1.6175015267351147	9.95
10000	54	17000	1192000	1000	19	10000	1	190000	0.10619549407843236	11.01
10000	56	21000	790000	1000	24	10000	1	240000	0.7851117444700995	11.24
10000	43	35000	1351000	9000	18	10000	1	180000	-0.14611872567615797	9.95
10000	59	40000	1917000	2000	19	10000	1	190000	-0.8414504122125251	11.62
10000	43	20000	401000	6000	18	10000	1	180000	1.200929259179573	9.95
10000	47	12000	713000	6000	22	10000	1	220000	0.9184481003715687	10.3
10000	51	23000	108000	7000	21	9899	0.9899	208418	1.7248385420841352	10.68
10000	48	11000	608000	8000	24	10000	1	240000	1.1780525927500916	10.39
10000	54	23000	107000	7000	21	10000	1	210000	1.6916789314721892	11.01
10000	60	32000	278000	7000	23	10000	1	230000	1.4650758275492244	11.75
10000	52	22000	124000	4000	23	9140	0.914	214860	1.7084954277585513	10.79
10000	43	28000	471000	1000	24	10000	1	240000	1.4657906001010848	9.95
10000	58	13000	257000	8000	18	10000	1	180000	1.2195232551192332	11.49
10000	42	39000	1775000	3000	22	10000	1	220000	-0.9045027228866105	9.86
10000	54	30000	1986000	6000	18	10000	1	180000	-0.9205614322429118	11.01
10000	50	15000	760000	6000	20	10000	1	200000	0.740151682633543	10.58
10000	60	32000	278000	7000	23	10000	1	230000	1.4650758275492244	11.75
10000	51	29000	967000	3000	18	10000	1	180000	0.3772667458647397	10.68
10000	53	15000	870000	9000	19	10000	1	190000	0.5309781484111117	10.9
10000	49	36000	1271000	3000	18	10000	1	180000	-0.026404705363726737	10.49
10000	54	14000	1192000	8000	19	10000	1	190000	0.10088984245663063	11.01
10000	46	22000	1147000	1000	22	10000	1	220000	0.19889720918290862	10.21
10000	47	12000	713000	8000	22	10000	1	220000	0.9151637603409346	10.3
10000	51	23000	107000	8000	21	9882	0.9882	208152	1.7218762302901651	10.68
10000	41	31000	910000	6000	22	10000	1	220000	0.5935242545685393	9.78
10000	45	17000	1997000	0	20	10000	1	200000	-1.1006504209831707	10.12
10000	52	23000	107000	7000	21	9970	0.997	209532	1.7209921167406268	10.79
10000	47	10000	1070000	5000	22	10000	1	220000	0.33681976681708453	10.3
10000	51	15000	713000	6000	22	10000	1	220000	0.8810148424524048	10.68
10000	46	20000	1147000	8000	22	10000	1	220000	0.19060531475950107	10.21
10000	51	23000	108000	7000	21	9899	0.9899	208418	1.7248385420841352	10.68
10000	43	32000	1351000	9000	18	10000	1	180000	-0.14193664466273545	9.95
10000	43	22000	124000	1000	24	7627	0.7627	194854	1.6175015267351147	9.95
10000	47	12000	713000	8000	22	10000	1	220000	0.9151637603409346	10.3
10000	60	23000	107000	7000	18	10000	1	180000	1.3586912040270644	11.75
10000	52	36000	278000	7000	21	10000	1	210000	1.4507006733367132	10.79
10000	51	23000	105000	8000	21	9842	0.9842	207526	1.7178830545979797	10.68
10000	51	23000	103000	8000	21	9802	0.9802	206899	1.7138680889400888	10.68
10000	56	21000	790000	0	24	10000	1	240000	0.7867545991248763	11.24
10000	47	11000	869000	3000	24	10000	1	240000	0.7295051670974985	10.3
10000	50	15000	760000	6000	20	10000	1	200000	0.740151682633543	10.58
10000	58	13000	257000	8000	18	10000	1	180000	1.2195232551192332	11.49
10000	52	23000	107000	7000	21	9970	0.997	209532	1.7209921167406268	10.79
10000	43	20000	401000	7000	23	10000	1	230000	1.5327396377080016	9.95
10000	60	32000	278000	6000	18	10000	1	180000	1.1477591039107942	11.75
10000	52	23000	107000	7000	21	9970	0.997	209532	1.7209921167406268	10.79
10000	55	14000	1192000	8000	19	10000	1	190000	0.0998957542631368	11.12
10000	60	19000	471000	4000	23	10000	1	230000	1.19856192722521	11.75
10000	46	22000	1147000	3000	22	10000	1	220000	0.19558045585290865	10.21
10000	47	12000	713000	8000	22	10000	1	220000	0.9151637603409346	10.3
10000	47	10000	1070000	5000	22	10000	1	220000	0.33681976681708453	10.3
10000	59	17000	278000	1000	19	10000	1	190000	1.2502311157330668	11.62
10000	60	32000	1192000	7000	23	10000	1	230000	0.08883329900632445	11.75
10000	56	21000	790000	1000	24	10000	1	240000	0.7851117444700995	11.24
10000	43	24000	401000	6000	18	10000	1	180000	1.195363027512082	9.95
10000	48	11000	608000	7000	24	10000	1	240000	1.1798362608266195	10.39
10000	60	32000	274000	8000	23	10000	1	230000	1.469591585243715	11.75
10000	52	21000	790000	4000	23	10000	1	230000	0.7788523389177908	10.79
10000	56	22000	124000	1000	24	8864	0.8864	219120	1.6640917861568145	11.24
10000	49	36000	1271000	3000	18	10000	1	180000	-0.026404705363726737	10.49
10000	43	28000	401000	6000	19	10000	1	190000	1.2558966187398726	9.95
10000	43	23000	471000	1000	24	10000	1	240000	1.4750640781286053	9.95
10000	41	23000	910000	6000	23	10000	1	230000	0.6349748716196456	9.78
10000	47	31000	107000	8000	21	9577	0.9577	203295	1.7182810097596892	10.3
10000	59	33000	713000	6000	22	10000	1	220000	0.7835249257000635	11.62
10000	51	23000	107000	7000	20	10000	1	200000	1.6609049837549497	10.68
10000	52	23000	107000	7000	21	9970	0.997	209532	1.7209921167406268	10.79
10000	43	34000	1630000	5000	21	10000	1	210000	-0.6152978701227573	9.95
10000	58	13000	257000	8000	18	10000	1	180000	1.2195232551192332	11.49
10000	51	29000	967000	3000	18	10000	1	180000	0.3772667458647397	10.68
10000	51	23000	108000	7000	21	9899	0.9899	208418	1.7248385420841352	10.68
10000	52	36000	278000	7000	21	10000	1	210000	1.4507006733367132	10.79
10000	52	21000	790000	7000	18	10000	1	180000	0.6056871974917865	10.79
10000	60	23000	107000	4000	23	9477	0.9477	221044	1.649587375079351	11.75
10000	60	23000	910000	6000	23	10000	1	230000	0.5285062415576663	11.75
