volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
10000	31	31000	410000	44000	20	NaN	NaN	200000	NaN	9.02
10000	39	13000	250000	88000	24	9848	0.9848	237083	2.2461582323592304	9.62
10000	43	11000	240000	82000	25	9422	0.9422	238426	2.179504973398103	9.95
10000	27	68000	400000	98000	24	8811	0.8811	216660	2.0772495088408642	8.74
10000	22	28000	450000	91000	23	8342	0.8342	198805	1.95432645785587	8.37
10000	29	65000	420000	66000	24	9007	0.9007	220577	2.102290299051787	8.88
10000	28	0	360000	79000	20	10000	1	200000	2.0135917442738487	8.81
10000	39	4000	480000	96000	20	10000	1	200000	1.8026137899954935	9.62
10000	44	57000	470000	66000	21	10000	1	210000	1.8201516793066088	10.03
10000	43	55000	430000	44000	20	10000	1	200000	1.7703031644169065	9.95
10000	28	68000	200000	0	25	7051	0.7051	189265	1.854550236717517	8.81
10000	33	82000	340000	99000	20	10000	1	200000	1.9052155275065492	9.17
10000	31	14000	240000	88000	26	7363	0.7363	203331	1.9337171717171717	9.02
10000	28	45000	500000	58000	22	9892	0.9892	218100	2.1041721053903797	8.81
10000	41	38000	430000	91000	20	10000	1	200000	1.7853157777281856	9.78
10000	26	3000	350000	66000	26	6703	0.6703	188554	1.7906807089648087	8.66
10000	44	56000	400000	83000	26	9486	0.9486	249214	2.1629993422495066	10.03
10000	26	7000	290000	93000	28	5388	0.5388	170834	1.5617391304347825	8.66
10000	37	13000	190000	95000	26	7122	0.7122	198799	1.8083203124999998	9.47
10000	21	12000	480000	37000	23	7896	0.7896	190340	1.8824358642135266	8.3
10000	23	40000	380000	60000	24	7929	0.7929	199036	1.9689187790998448	8.44
10000	37	92000	260000	17000	23	10000	1	230000	2.2078233741300695	9.47
10000	25	4000	280000	1000	24	7676	0.7676	194206	1.975062985794693	8.59
10000	45	43000	350000	83000	28	8070	0.807	235726	1.9934715483017202	10.12
10000	27	43000	480000	27000	24	8449	0.8449	209554	1.9997633136094675	8.74
10000	41	94000	440000	57000	21	10000	1	210000	1.8612896077996899	9.78
10000	39	92000	430000	3000	26	8945	0.8945	237645	2.1224731918777096	9.62
