volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
121098	75	29000	29000	25000	23	109306	0.9026243207980313	739825	0.40224647991853124	14.42
150540	70	7000	0	2000	25	99284	0.6595190647004119	745547	0.3610680353616119	13.59
143532	65	29000	15000	40000	15	99284	0.6917203132402531	745547	0.3909919661591696	12.63
20368	80	48000	15000	25000	25	16134	0.7921249018067557	-460	-0.0011032180390539185	15.66
28268	79	48000	32000	25000	25	23216	0.8212820149992924	51033	0.09311486776203552	15.32
55460	66	6000	36000	18000	22	49589	0.8941399206635413	350180	0.4624981344490979	12.39
64876	68	3000	4000	46000	19	64876	1	323124	0.3632565878226459	12.74
82755	70	7000	2000	2000	25	54909	0.6635127786840674	426584	0.3845773817465841	13.15
87695	66	6000	36000	18000	22	78412	0.8941444780204116	602710	0.5195560873343172	12.43
144388	66	6000	36000	18000	22	129104	0.8941463279496911	999940	0.5213000334694703	12.8
83550	65	29000	13000	40000	15	83550	1	117763	0.10557093000635596	12.25
155632	73	32000	9000	20000	25	113255	0.7277102395394264	824555	0.36026339199110785	14.25
121244	65	29000	13000	40000	14	113255	0.9341080795750718	824555	0.5148683692093661	12.45
12138	66	6000	38000	18000	22	10901	0.8980886472235953	2101	0.009315214258795362	12.65
25337	66	6000	36000	18000	19	25337	1	74184	0.19158150813880517	12.52
33256	65	29000	13000	40000	14	33256	1	-55464	-0.11069598122335585	12.3
61142	75	29000	29000	25000	25	47544	0.7775996859769062	304474	0.316960995373744	14.19
116088	79	48000	17000	25000	25	91860	0.791296258011164	575301	0.30475405971643565	15.4
135550	73	19000	29000	25000	14	135550	1	-113844	-0.057163688073173374	14.08
88146	75	29000	15000	25000	23	77095	0.8746284573321534	497669	0.3730095735343828	14.24
150544	66	6000	36000	18000	22	134608	0.8941439047720268	1039275	0.5184735269320375	12.85
163855	66	6000	36000	18000	22	146510	0.8941442128711361	1120503	0.5104334504525558	12.97
166678	66	6000	36000	18000	22	146510	0.8790002279844971	1120503	0.5009370470678385	13
11075	66	6000	36000	18000	22	9902	0.8940857787810383	-4940	-0.02350042100956667	12.66
36146	65	29000	29000	25000	21	34562	0.956177723676202	178656	0.3327720573991566	12.28
47769	75	29000	15000	40000	15	47769	1	-76262	-0.098683095301871	14.21
63213	66	6000	36000	18000	22	56521	0.89413569993514	412309	0.483603807754382	12.38
74603	75	8000	2000	2000	25	51738	0.6935109848129432	354430	0.32776258089335486	14.2
98139	66	6000	36000	18000	22	87750	0.8941399443646257	680553	0.5256152811224198	12.48
160592	70	7000	2000	25000	25	107853	0.6715963435289429	796162	0.3552870322522489	13.68
109143	75	29000	15000	2000	23	94578	0.8665512217915945	638615	0.39393687041594955	14.34
179168	66	6000	36000	18000	22	160202	0.8941440435792106	1208177	0.499105624691203	13.12
144604	75	9000	2000	2000	25	160202	1.1078670022959254	1208177	0.5657149251942253	14.61
13766	65	29000	15000	40000	23	11258	0.8178120005811419	-10965	-0.041295702083427484	12.46
49564	75	29000	29000	25000	17	49564	1	25284	0.03171186899852503	14.21
73487	70	40000	15000	8000	15	73487	1	45156	0.04353858510204416	13.12
67912	75	29000	3000	25000	23	57767	0.8506155024148898	349949	0.33953511838404304	14.19
96744	73	32000	9000	20000	25	70401	0.7277040436616224	514053	0.3650939416279238	13.82
152376	73	32000	9000	20000	25	110885	0.7277064629600462	809340	0.36166997201698464	14.22
112910	79	48000	17000	25000	25	89346	0.7913028075458329	558302	0.3039941629845009	15.38
133495	75	29000	15000	25000	23	116758	0.8746245177722012	769598	0.3814901452253876	14.52
105024	66	6000	34000	18000	22	93486	0.8901393967093236	727012	0.5261149907732388	12.51
161174	66	6000	36000	18000	22	93486	0.580031518731309	727012	0.3370160341887157	12.95
13138	66	6000	36000	18000	22	11747	0.8941239153600243	11161	0.04727955130811983	12.64
28116	66	6000	36000	18000	19	28116	1	92754	0.2200830466247479	12.5
50724	66	6000	36000	18000	22	45354	0.8941329548142891	312105	0.4465168381792248	12.4
57221	70	40000	3000	8000	15	57221	1	26576	0.032739587478241156	13.12
104291	75	29000	2000	5000	25	74742	0.7166677853314284	520674	0.33822145224876204	14.32
89062	70	7000	29000	25000	23	75757	0.8506096876333341	566078	0.45506637747940826	13.17
162236	75	9000	2000	2000	25	112696	0.6946423728395671	744028	0.30754807841354154	14.77
162522	75	9000	2000	2000	25	112895	0.6946444173711867	745421	0.307586831825221	14.77
220053	75	29000	3000	25000	23	187183	0.8506268944299782	1098782	0.3217318051505456	15.32
176430	66	9000	36000	18000	22	187183	1.0609476846341326	1098782	0.4611948617987734	13.09
18208	72	32000	2000	20000	25	12890	0.7079305799648506	24918	0.07940397625337382	13.72
42700	70	6000	9000	25000	25	29226	0.6844496487119438	187737	0.3070081193121888	13.15
