volume	quality	unit_price
230000	90	20.04
240000	90	20.13
250000	90	20.21
260000	90	20.3
270000	90	20.38
280000	90	20.45
290000	90	20.53
300000	90	20.6
310000	90	20.66
320000	90	20.73
330000	90	20.79
340000	90	20.84
350000	90	20.9
360000	90	20.95
370000	90	21
380000	90	21.05
390000	90	21.1
400000	90	21.15
100000	91	19.32
110000	91	19.38
120000	91	19.44
130000	91	19.52
140000	91	19.6
150000	91	19.68
160000	91	19.77
170000	91	19.87
180000	91	19.96
190000	91	20.06
200000	91	20.15
210000	91	20.25
220000	91	20.34
230000	91	20.44
240000	91	20.53
250000	91	20.61
260000	91	20.7
270000	91	20.78
280000	91	20.85
290000	91	20.93
300000	91	21
310000	91	21.06
320000	91	21.13
330000	91	21.19
340000	91	21.24
350000	91	21.3
360000	91	21.35
370000	91	21.4
380000	91	21.45
390000	91	21.5
400000	91	21.55
100000	92	19.73
110000	92	19.79
120000	92	19.86
130000	92	19.93
140000	92	20.01
150000	92	20.1
160000	92	20.19
170000	92	20.28
180000	92	20.37
190000	92	20.47
200000	92	20.57
210000	92	20.66
220000	92	20.76
230000	92	20.85
240000	92	20.94
250000	92	21.03
260000	92	21.11
270000	92	21.19
280000	92	21.27
290000	92	21.34
300000	92	21.41
310000	92	21.48
320000	92	21.54
330000	92	21.6
340000	92	21.65
350000	92	21.71
360000	92	21.76
370000	92	21.81
380000	92	21.86
390000	92	21.91
400000	92	21.96
100000	93	20.16
110000	93	20.22
120000	93	20.28
130000	93	20.36
140000	93	20.44
150000	93	20.52
160000	93	20.61
170000	93	20.71
180000	93	20.8
190000	93	20.9
200000	93	20.99
210000	93	21.09
220000	93	21.18
230000	93	21.27
240000	93	21.36
250000	93	21.45
260000	93	21.54
270000	93	21.62
280000	93	21.69
290000	93	21.77
300000	93	21.84
310000	93	21.9
320000	93	21.96
330000	93	22.02
340000	93	22.08
350000	93	22.13
360000	93	22.19
370000	93	22.24
380000	93	22.29
390000	93	22.34
400000	93	22.39
100000	94	20.6
110000	94	20.66
120000	94	20.72
130000	94	20.8
140000	94	20.88
150000	94	20.96
160000	94	21.05
170000	94	21.15
180000	94	21.24
190000	94	21.34
200000	94	21.43
210000	94	21.53
220000	94	21.62
230000	94	21.71
240000	94	21.8
250000	94	21.89
260000	94	21.98
270000	94	22.06
280000	94	22.13
290000	94	22.21
300000	94	22.28
310000	94	22.34
320000	94	22.4
330000	94	22.46
340000	94	22.52
350000	94	22.57
360000	94	22.63
370000	94	22.68
380000	94	22.73
390000	94	22.78
400000	94	22.83
100000	95	21.05
110000	95	21.11
120000	95	21.18
130000	95	21.25
140000	95	21.33
150000	95	21.42
160000	95	21.51
170000	95	21.6
180000	95	21.69
190000	95	21.79
200000	95	21.89
