1 1 6.78
1 2 6.87
1 3 6.96
1 4 7.05
1 5 7.14
1 6 7.23
1 7 7.31
1 8 7.40
1 9 7.48
1 10 7.57
1 11 7.65
1 12 7.73
1 13 7.81
1 14 7.89
1 15 7.97
1 16 8.05
1 17 8.13
1 18 8.20
1 19 8.28
1 20 8.36
1 21 8.43
1 22 8.50
1 23 8.58
1 24 8.65
1 25 8.72
1 26 8.80
1 27 8.87
1 28 8.94
1 29 9.01
1 30 9.09
1 31 9.16
1 32 9.23
1 33 9.30
1 34 9.38
1 35 9.45
1 36 9.53
1 37 9.60
1 38 9.68
1 39 9.76
1 40 9.83
1 41 9.91
1 42 10.00
1 43 10.08
1 44 10.16
1 45 10.25
1 46 10.34
1 47 10.43
1 48 10.52
1 49 10.62
1 50 10.72
1 51 10.82
1 52 10.92
1 53 11.03
1 54 11.14
1 55 11.26
1 56 11.37
1 57 11.50
1 58 11.62
1 59 11.75
1 60 11.89
1 61 12.03
1 62 12.17
1 63 12.32
1 64 12.48
1 65 12.64
1 66 12.81
1 67 12.98
1 68 13.16
1 69 13.35
1 70 13.54
1 71 13.74
1 72 13.95
1 73 14.16
1 74 14.38
1 75 14.62
1 76 14.85
1 77 15.10
1 78 15.36
1 79 15.63
1 80 15.90
1 81 16.19
1 82 16.48
1 83 16.79
1 84 17.10
1 85 17.43
1 86 17.77
1 87 18.12
1 88 18.48
1 89 18.86
1 90 19.24
1 91 19.64
1 92 20.05
1 93 20.48
1 94 20.92
1 95 21.38
1 96 21.84
1 97 22.33
1 98 22.83
1 99 23.34
1 100 23.87
