volume	quality	unit_price
240000	61	12.91
250000	61	13
260000	61	13.08
270000	61	13.16
280000	61	13.24
290000	61	13.31
300000	61	13.38
310000	61	13.45
320000	61	13.51
330000	61	13.57
340000	61	13.63
350000	61	13.68
360000	61	13.73
370000	61	13.78
380000	61	13.83
390000	61	13.88
400000	61	13.94
100000	62	11.85
110000	62	11.91
120000	62	11.97
130000	62	12.05
140000	62	12.13
150000	62	12.21
160000	62	12.3
170000	62	12.4
180000	62	12.49
190000	62	12.59
200000	62	12.68
210000	62	12.78
220000	62	12.87
230000	62	12.97
240000	62	13.06
250000	62	13.14
260000	62	13.23
270000	62	13.31
280000	62	13.39
290000	62	13.46
300000	62	13.53
310000	62	13.59
320000	62	13.66
330000	62	13.72
340000	62	13.77
350000	62	13.83
360000	62	13.88
370000	62	13.93
380000	62	13.98
390000	62	14.03
400000	62	14.08
100000	63	12
110000	63	12.06
120000	63	12.12
130000	63	12.2
140000	63	12.28
150000	63	12.36
160000	63	12.45
170000	63	12.55
180000	63	12.64
190000	63	12.74
200000	63	12.83
210000	63	12.93
220000	63	13.02
230000	63	13.12
240000	63	13.21
250000	63	13.29
260000	63	13.38
270000	63	13.46
280000	63	13.54
290000	63	13.61
300000	63	13.68
310000	63	13.74
320000	63	13.81
330000	63	13.87
340000	63	13.92
350000	63	13.98
360000	63	14.03
370000	63	14.08
380000	63	14.13
390000	63	14.18
400000	63	14.23
100000	64	12.16
110000	64	12.21
120000	64	12.28
130000	64	12.35
140000	64	12.43
150000	64	12.52
160000	64	12.61
170000	64	12.7
180000	64	12.8
190000	64	12.89
200000	64	12.99
210000	64	13.09
220000	64	13.18
230000	64	13.27
240000	64	13.36
250000	64	13.45
260000	64	13.53
270000	64	13.61
280000	64	13.69
290000	64	13.76
300000	64	13.83
310000	64	13.9
320000	64	13.96
330000	64	14.02
340000	64	14.08
350000	64	14.13
360000	64	14.18
370000	64	14.24
380000	64	14.29
390000	64	14.34
400000	64	14.39
100000	65	12.32
110000	65	12.38
120000	65	12.44
130000	65	12.52
140000	65	12.6
150000	65	12.68
160000	65	12.77
170000	65	12.86
180000	65	12.96
190000	65	13.06
200000	65	13.15
210000	65	13.25
220000	65	13.34
230000	65	13.43
240000	65	13.52
250000	65	13.61
260000	65	13.69
270000	65	13.78
280000	65	13.85
290000	65	13.93
300000	65	14
310000	65	14.06
320000	65	14.12
330000	65	14.18
340000	65	14.24
350000	65	14.29
360000	65	14.35
370000	65	14.4
380000	65	14.45
390000	65	14.5
400000	65	14.55
100000	66	12.49
110000	66	12.54
120000	66	12.61
130000	66	12.68
140000	66	12.76
150000	66	12.85
160000	66	12.94
170000	66	13.03
180000	66	13.13
190000	66	13.22
200000	66	13.32
210000	66	13.41
220000	66	13.51
230000	66	13.6
240000	66	13.69
250000	66	13.78
260000	66	13.86
270000	66	13.94
280000	66	14.02
290000	66	14.09
300000	66	14.16
310000	66	14.23
320000	66	14.29
330000	66	14.35
340000	66	14.41
350000	66	14.46
360000	66	14.51
370000	66	14.56
380000	66	14.61
390000	66	14.66
400000	66	14.71
100000	67	12.66
110000	67	12.72
120000	67	12.78
130000	67	12.86
140000	67	12.94
150000	67	13.02
160000	67	13.11
170000	67	13.2
180000	67	13.3
190000	67	13.4
200000	67	13.49
210000	67	13.59
220000	67	13.68
230000	67	13.77
240000	67	13.86
250000	67	13.95
260000	67	14.03
270000	67	14.12
280000	67	14.19
290000	67	14.27
300000	67	14.34
310000	67	14.4
320000	67	14.46
330000	67	14.52
340000	67	14.58
350000	67	14.63
360000	67	14.69
370000	67	14.74
380000	67	14.79
390000	67	14.84
400000	67	14.89
100000	68	12.84
110000	68	12.89
120000	68	12.96
130000	68	13.04
140000	68	13.12
150000	68	13.2
160000	68	13.29
170000	68	13.38
180000	68	13.48
190000	68	13.58
200000	68	13.67
210000	68	13.77
220000	68	13.86
230000	68	13.95
240000	68	14.04
250000	68	14.13
260000	68	14.21
270000	68	14.29
280000	68	14.37
290000	68	14.45
300000	68	14.51
310000	68	14.58
320000	68	14.64
330000	68	14.7
340000	68	14.76
350000	68	14.81
360000	68	14.87
370000	68	14.92
380000	68	14.97
390000	68	15.02
400000	68	15.07
100000	69	13.02
110000	69	13.08
120000	69	13.15
130000	69	13.22
140000	69	13.3
150000	69	13.39
160000	69	13.48
170000	69	13.57
180000	69	13.67
190000	69	13.76
200000	69	13.86
210000	69	13.95
220000	69	14.05
230000	69	14.14
240000	69	14.23
250000	69	14.32
260000	69	14.4
270000	69	14.48
280000	69	14.56
290000	69	14.63
300000	69	14.7
310000	69	14.77
320000	69	14.83
330000	69	14.89
340000	69	14.95
350000	69	15
360000	69	15.05
370000	69	15.1
380000	69	15.15
390000	69	15.2
400000	69	15.25
100000	70	13.22
110000	70	13.27
120000	70	13.34
130000	70	13.41
140000	70	13.49
150000	70	13.58
160000	70	13.67
170000	70	13.76
180000	70	13.86
190000	70	13.95
200000	70	14.05
210000	70	14.15
220000	70	14.24
230000	70	14.33
240000	70	14.42
250000	70	14.51
260000	70	14.59
270000	70	14.67
280000	70	14.75
290000	70	14.82
300000	70	14.89
310000	70	14.96
320000	70	15.02
330000	70	15.08
340000	70	15.14
350000	70	15.19
360000	70	15.24
370000	70	15.3
380000	70	15.35
390000	70	15.4
400000	70	15.45
100000	71	13.42
110000	71	13.47
120000	71	13.54
130000	71	13.61
140000	71	13.69
150000	71	13.78
160000	71	13.87
170000	71	13.96
180000	71	14.06
190000	71	14.15
200000	71	14.25
210000	71	14.35
220000	71	14.44
230000	71	14.53
240000	71	14.62
250000	71	14.71
260000	71	14.79
270000	71	14.87
280000	71	14.95
290000	71	15.02
300000	71	15.09
310000	71	15.16
320000	71	15.22
330000	71	15.28
340000	71	15.34
350000	71	15.39
360000	71	15.44
370000	71	15.5
380000	71	15.55
390000	71	15.6
400000	71	15.65
100000	72	13.62
110000	72	13.68
120000	72	13.75
130000	72	13.82
140000	72	13.9
150000	72	13.99
160000	72	14.08
170000	72	14.17
180000	72	14.27
190000	72	14.36
200000	72	14.46
210000	72	14.55
220000	72	14.65
230000	72	14.74
240000	72	14.83
250000	72	14.92
260000	72	15
270000	72	15.08
280000	72	15.16
290000	72	15.23
300000	72	15.3
310000	72	15.37
320000	72	15.43
330000	72	15.49
340000	72	15.55
350000	72	15.6
360000	72	15.65
370000	72	15.7
380000	72	15.75
390000	72	15.8
400000	72	15.85
100000	73	13.84
110000	73	13.9
120000	73	13.96
130000	73	14.04
140000	73	14.12
150000	73	14.2
160000	73	14.29
170000	73	14.39
180000	73	14.48
190000	73	14.58
200000	73	14.67
210000	73	14.77
220000	73	14.86
230000	73	14.95
240000	73	15.04
250000	73	15.13
260000	73	15.22
270000	73	15.3
280000	73	15.37
290000	73	15.45
300000	73	15.52
310000	73	15.58
320000	73	15.65
330000	73	15.7
340000	73	15.76
350000	73	15.82
360000	73	15.87
370000	73	15.92
380000	73	15.97
390000	73	16.02
400000	73	16.07
100000	74	14.06
110000	74	14.12
120000	74	14.19
130000	74	14.26
140000	74	14.34
150000	74	14.43
160000	74	14.52
170000	74	14.61
180000	74	14.7
190000	74	14.8
200000	74	14.9
210000	74	14.99
220000	74	15.09
230000	74	15.18
240000	74	15.27
250000	74	15.35
260000	74	15.44
270000	74	15.52
280000	74	15.6
290000	74	15.67
300000	74	15.74
310000	74	15.81
320000	74	15.87
330000	74	15.93
340000	74	15.98
350000	74	16.04
360000	74	16.09
370000	74	16.14
380000	74	16.19
390000	74	16.24
400000	74	16.29
100000	75	14.29
110000	75	14.35
120000	75	14.42
130000	75	14.49
140000	75	14.57
150000	75	14.66
160000	75	14.75
170000	75	14.84
180000	75	14.93
190000	75	15.03
200000	75	15.13
210000	75	15.22
220000	75	15.32
230000	75	15.41
240000	75	15.5
250000	75	15.59
260000	75	15.67
270000	75	15.75
280000	75	15.83
290000	75	15.9
300000	75	15.97
310000	75	16.04
320000	75	16.1
330000	75	16.16
340000	75	16.21
350000	75	16.27
360000	75	16.32
370000	75	16.37
380000	75	16.42
390000	75	16.47
400000	75	16.52
100000	76	14.53
110000	76	14.59
120000	76	14.66
130000	76	14.73
140000	76	14.81
150000	76	14.9
160000	76	14.99
170000	76	15.08
180000	76	15.17
190000	76	15.27
200000	76	15.37
210000	76	15.46
220000	76	15.56
230000	76	15.65
240000	76	15.74
250000	76	15.82
260000	76	15.91
270000	76	15.99
280000	76	16.07
290000	76	16.14
300000	76	16.21
310000	76	16.28
320000	76	16.34
330000	76	16.4
340000	76	16.45
350000	76	16.51
360000	76	16.56
370000	76	16.61
380000	76	16.66
390000	76	16.71
400000	76	16.76
100000	77	14.78
110000	77	14.84
120000	77	14.9
130000	77	14.98
140000	77	15.06
150000	77	15.14
160000	77	15.23
170000	77	15.33
180000	77	15.42
190000	77	15.52
200000	77	15.61
210000	77	15.71
