volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
87079	60	49000	51000	6000	21	84917	0.9751719702798608	1795699	1.598794039329263	11.51
74872	61	47000	24000	14000	21	69629	0.9299738219895288	1492671	1.5411083347792889	11.62
70013	61	22000	51000	12000	24	54894	0.7840543898990188	1405222	1.4861909807158549	11.61
117041	61	50000	35000	7000	19	117041	1	2223779	1.4653631309821544	11.81
150230	64	34000	59000	20000	22	143639	0.9561272715170073	3201318	1.4994571706791748	12.52
188200	66	53000	31000	17000	21	185454	0.9854091392136025	3912671	1.414514206427266	13.21
147255	63	22000	34000	16000	22	130464	0.8859733116023225	2973808	1.4663134188180351	12.34
19436	64	11000	51000	6000	21	18814	0.9679975303560403	398901	1.5475459710843493	12.24
30528	60	49000	35000	12000	23	25352	0.8304507337526206	613039	1.497889143691157	11.57
48307	60	19000	38000	6000	21	44504	0.9212743494731612	956413	1.5777196303326446	11.48
65600	60	53000	31000	17000	24	50265	0.766234756097561	1294230	1.4489821892293422	11.46
54096	65	37000	58000	12000	22	51989	0.9610507246376812	1156632	1.5532539503788731	12.22
86261	60	30000	49000	18000	23	72775	0.8436605186584899	1751437	1.5281751925271374	11.51
94694	60	49000	51000	6000	21	92343	0.975172661414662	1952768	1.5946367026128112	11.54
152700	69	10000	38000	5000	20	152700	1	3054000	1.4092912118006684	13.41
167574	60	35000	48000	3000	23	140927	0.8409836848198408	3402402	1.4656299895488405	12.09
135364	69	10000	42000	3000	20	135364	1	2707280	1.4225974587999968	13.26
15278	60	49000	51000	6000	21	14898	0.9751276345071345	315079	1.5741027309537186	11.69
54819	60	51000	52000	6000	21	53657	0.9788029697732538	1133461	1.6056440938181846	11.47
35827	64	11000	51000	6000	21	34681	0.9680129511262455	735246	1.5628925909321456	12.12
102538	62	56000	25000	20000	22	91510	0.8924496284304355	2078616	1.4948433214876433	11.86
80919	61	22000	51000	11000	24	63416	0.783697277524438	1623764	1.4843738335912637	11.63
62446	62	56000	37000	17000	22	57165	0.9154309323255293	1288656	1.534208784391094	11.75
156974	62	56000	39000	17000	22	144327	0.9194325174869724	3252847	1.4715302320011399	12.28
184212	60	30000	49000	18000	23	155413	0.8436638221179945	3750893	1.435865451834868	12.25
96555	61	22000	51000	9000	21	92601	0.9590492465434208	1967732	1.5842921802117647	11.69
184457	60	49000	56000	6000	21	181722	0.9851726960755081	3832914	1.5102366919508128	12.25
14824	61	22000	56000	9000	19	14824	1	281656	1.46866428316883	11.84
41658	64	47000	49000	4000	22	39237	0.9418839118536656	877861	1.5478518241389574	12.1
57842	60	30000	49000	20000	23	48838	0.8443345665779192	1174912	1.531768330022641	11.47
91074	62	22000	56000	9000	21	88931	0.9764696839932363	1880205	1.5890918328641128	11.81
84585	63	24000	34000	16000	22	75111	0.8879943252349708	1709002	1.5160314440580276	11.94
83763	60	53000	51000	6000	21	81953	0.9783914138700859	1731421	1.5992183528854378	11.5
148503	61	16000	25000	17000	21	134188	0.9036046409836839	2904267	1.4799153982910882	12.06
153142	60	22000	51000	12000	21	145875	0.9525473090334461	3106832	1.5336420910062523	11.96
160364	62	56000	25000	20000	22	143116	0.89244468833404	3254713	1.4401926717234934	12.31
168124	62	56000	39000	17000	22	154579	0.9194344650377103	3484582	1.4596477602821256	12.38
13610	62	56000	40000	17000	22	12540	0.9213813372520205	282300	1.5075804460854758	12
45221	61	22000	56000	8000	21	43805	0.9686871143937551	928139	1.6023539317953972	11.63
72154	60	49000	51000	6000	23	62073	0.860284946087535	1485494	1.5501502951817037	11.47
55620	64	49000	35000	11000	22	51066	0.9181229773462783	1150913	1.521128601882729	12.06
121199	64	21000	49000	7000	22	111363	0.9188442148862614	2510428	1.519713108755238	12.29
97218	64	11000	51000	6000	21	94109	0.968020325454134	1995161	1.5603295751614819	12.14
97155	60	49000	51000	6000	21	94743	0.9751736915238536	2003532	1.5932587887966758	11.55
202045	64	21000	58000	16000	22	189932	0.9400480091068821	4257299	1.4437275611701637	13.01
122648	65	37000	35000	12000	22	112231	0.9150658795903724	2533980	1.482928996239699	12.46
187389	61	47000	24000	14000	19	187389	1	3560391	1.4027544724823993	12.42
18935	60	22000	56000	9000	21	18205	0.9614470557169263	386561	1.5847719459379492	11.66
47204	60	47000	26000	14000	21	43729	0.9263833573425981	938273	1.5495681231750325	11.49
57582	60	30000	49000	18000	23	48580	0.8436664235351325	1168966	1.5335147373340987	11.47
103100	60	49000	51000	6000	21	100540	0.9751697381183317	2126162	1.5891253144703512	11.58
103351	60	47000	26000	14000	21	95744	0.9263964547996633	2054669	1.5375474090732242	11.58
96759	64	11000	51000	6000	21	93665	0.9680236463791482	1985746	1.5603348199109501	12.14
73773	61	22000	51000	11000	21	70805	0.9597684789828257	1504134	1.5933707296503865	11.61
187010	64	39000	31000	4000	22	168122	0.8990000534730763	3820228	1.4239139067733753	12.87
111446	66	53000	49000	17000	24	94209	0.8453331658381638	2369178	1.43428399699369	12.55
178828	61	47000	24000	14000	21	166306	0.9299774084595254	3569687	1.4511956796595018	12.34
14088	60	51000	52000	6000	21	13789	0.9787762634866554	291320	1.5726918184910041	11.71
23259	60	49000	50000	6000	21	22635	0.9731716754804591	478960	1.581946666525874	11.62
57170	60	49000	51000	6000	21	55750	0.9751617981458807	1178894	1.6043514033559914	11.47
51364	61	22000	52000	6000	23	43406	0.8450665835994081	1044574	1.5410876461135983	11.62
119149	60	51000	51000	9000	21	116516	0.9779016189812756	2462213	1.5722490876958803	11.68
96149	60	25000	51000	6000	21	91668	0.9533952511206565	1950906	1.5940425023804692	11.55
123304	64	11000	56000	9000	20	123304	1	2466080	1.5037804301550493	12.3
