quality	tv	internet	warehouse	price	sold_ratio
65	47000	60000	10000	23	0.914
65	47000	60000	10000	24	0.853
65	47000	60000	14000	21	1.0
65	48000	10000	1000	24	0.751
65	48000	60000	5000	22	0.972
65	48000	60000	10000	21	1.0
65	48000	60000	10000	22	0.974
65	49000	10000	4000	22	0.873
65	49000	51000	10000	22	0.957
65	49000	55000	6000	22	0.963
65	49000	56000	9000	22	0.966
65	49000	56000	10000	22	0.967
65	49000	56000	11000	22	0.967
65	49000	57000	7000	22	0.968
65	49000	57000	10000	22	0.969
65	49000	58000	0	21	1.0
65	49000	58000	0	22	0.967
65	49000	58000	1000	22	0.967
65	49000	58000	2000	22	0.968
65	49000	58000	6000	21	1.0
65	49000	58000	6000	22	0.969
65	49000	58000	7000	22	0.97
65	49000	58000	8000	22	0.97
65	49000	58000	10000	21	1.0
65	49000	58000	10000	22	0.971
65	49000	58000	10000	24	0.851
65	49000	58000	11000	22	0.971
65	49000	59000	6000	22	0.971
65	49000	60000	6000	22	0.973
65	49000	60000	6000	24	0.853
65	49000	60000	10000	22	0.975
65	49000	60000	11000	22	0.975
65	49000	60000	14000	22	0.976
65	50000	57000	10000	22	0.97
65	50000	58000	1000	21	1.0
65	50000	58000	6000	22	0.97
65	51000	45000	7000	22	0.945
65	51000	51000	10000	22	0.958
65	51000	54000	10000	22	0.964
65	51000	56000	1000	21	1.0
65	51000	56000	1000	22	0.965
65	51000	57000	10000	22	0.97
65	51000	58000	0	22	0.969
65	51000	58000	1000	21	1.0
65	51000	58000	1000	22	0.969
65	51000	58000	3000	22	0.97
65	51000	58000	6000	22	0.971
65	51000	58000	8000	22	0.972
65	51000	58000	10000	22	0.972
65	51000	59000	1000	22	0.971
65	51000	59000	6000	22	0.973
65	51000	60000	1000	22	0.973
65	51000	60000	3000	22	0.974
65	52000	10000	22000	22	0.881
65	53000	41000	0	23	0.878
65	53000	41000	9000	23	0.881
65	53000	41000	13000	23	0.882
65	53000	42000	3000	23	0.881
65	53000	56000	0	24	0.846
65	53000	58000	3000	22	0.971
65	55000	60000	1000	22	0.976
65	57000	32000	32000	23	0.874
65	57000	48000	22000	23	0.903
65	57000	48000	22000	24	0.841
66	0	0	0	19	0.971
66	0	0	0	22	0.808
66	0	0	0	23	0.75
66	0	0	0	25	0.625
66	2000	47000	55000	22	0.922
66	2000	48000	55000	22	0.924
66	2000	60000	42000	23	0.886
66	8000	51000	20000	21	0.983
66	8000	54000	20000	21	0.989
66	10000	53000	20000	21	0.99
66	11000	56000	17000	24	0.82
66	15000	46000	9000	23	0.862
66	20000	31000	19000	23	0.841
66	25000	20000	6000	19	1.0
66	28000	43000	58000	24	0.823
66	28000	49000	8000	23	0.881
66	29000	49000	8000	23	0.882
66	35000	16000	51000	24	0.774
66	35000	16000	57000	24	0.776
66	35000	23000	4000	22	0.893
66	35000	23000	36000	22	0.904
66	35000	28000	55000	21	0.975
66	41000	55000	7000	24	0.844
66	43000	56000	10000	21	1.0
66	43000	56000	10000	22	0.968
66	43000	56000	12000	21	1.0
66	43000	60000	10000	22	0.976
66	43000	60000	12000	22	0.977
66	44000	60000	10000	22	0.977
66	47000	60000	10000	22	0.98
66	49000	10000	4000	22	0.879
66	49000	10000	36000	22	0.89
66	49000	51000	10000	22	0.963
66	49000	51000	10000	23	0.905
66	50000	31000	18000	23	0.868
66	53000	30000	2000	23	0.863
66	53000	31000	17000	21	0.985
