volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate
17929	76	2000	46000	21000	11	17929	1	-164082	-0.4807545245985215
37346	72	29000	23000	15000	15	37346	1	-43968	-0.07526730781740557
48696	79	17000	43000	5000	10	48696	1	-349193	-0.42785237571876844
89968	82	13000	1000	34000	12	89968	1	-447768	-0.2970497232291175
81100	77	19000	20000	4000	19	81100	1	275730	0.22143964277970077
96519	76	2000	38000	4000	19	96519	1	358406	0.24625014170826307
130156	74	50000	49000	30000	10	130156	1	-713464	-0.3576217629462102
182880	76	12000	19000	46000	18	182880	1	405064	0.14129600638487277
148372	90	26000	40000	10000	25	127462	0.8590704445582724	422890	0.14358968438723207
156869	75	23000	30000	40000	12	127462	0.8125378500532291	422890	0.17531946083741587
27754	75	23000	30000	40000	12	27754	1	-35894	-0.13510237880156578
